OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,Age,ProportionPrincipalUseType,ProportionSecondaryUseType,ProportionThirdUseType,RiseType,AgeType,energies_sum,energy_ratio,SteamUseProportion,ElectricityProportion,NaturalGasProportion
50196,Nonresidential COS,Mixed Use Property,Northgate Community Center,10510 5th Ave NE,Seattle,WA,,2926049431,5,NORTH,47.70541,-122.32232,2005,1,1,20616,0,20616,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare, Social/Meeting Hall",Other - Recreation,9900.0,Fitness Center/Health Club/Gym,8577.0,Pre-school/Daycare,1364.0,,,30.89999962,30.89999962,97.0,97.0,636965.5,636965.5,0.0,636965.4881,0.0,Compliant,,4.44,0.22,18,0.48020954598370197,0.4160360884749709,0.06616220411331004,Low,Brand_new,636965.4881,0.9999999813176694,0.0,1.0,0.0
50198,Nonresidential COS,Other,Fire Station 06 (New),405 MLK Jr Way S,Seattle,WA,,1250200565,3,CENTRAL,47.59905,-122.29787,2013,1,1,11685,0,11685,Prison/Incarceration,Prison/Incarceration,11685.0,,,,,,,72.80000305,82.90000153,138.6000061,149.1999969,851053.8125,969142.0,0.0,347288.714,503764.9902,Compliant,,29.18,2.5,10,1.0,,,Low,Brand_new,851053.7042,0.9999998727460022,0.0,0.41,0.59
50201,Nonresidential COS,Other,Fire Station 35 (New),8729 15th Ave NW,Seattle,WA,,3300700810,6,BALLARD,47.6933,-122.37717,2010,1,1,11968,0,11968,Prison/Incarceration,Prison/Incarceration,11968.0,,,,,,,65.5,71.80000305,139.1999969,149.0,783423.0,858773.0,0.0,403243.1149,380179.9805,Compliant,,23.0,1.92,13,1.0,,,Low,Brand_new,783423.0954,1.0000001217732948,0.0,0.51,0.49
50204,Nonresidential COS,Other,Fire Station 39 (New),2806 NE 127th St,Seattle,WA,,3834500066,5,NORTH,47.72126,-122.29735,1949,1,1,11285,0,11285,Prison/Incarceration,Prison/Incarceration,11285.0,,,,,,,57.20000076,62.59999847,140.0,148.3999939,645665.375,705983.6875,0.0,431795.424,213870.0195,Compliant,,14.37,1.27,74,1.0,,,Low,Old,645665.4435,1.000000106092107,0.0,0.67,0.33
50207,Nonresidential COS,Other,Ballard Community Center,6020 28th ave NW,Seattle,WA,,6658000065,6,BALLARD,47.67295,-122.39228,1911,1,1,16795,0,16795,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",Other - Recreation,8680.0,Fitness Center/Health Club/Gym,7014.0,Pre-school/Daycare,535.0,,,55.79999924,59.0,126.0,129.3999939,936616.5,990545.5,0.0,542134.386,394481.9824,Compliant,,24.73,1.47,112,0.5168204822863948,0.4176242929443287,0.031854718666269724,Low,Very_old,936616.3684,0.9999998594942541,0.0,0.58,0.42
50208,Nonresidential COS,Other,Ballard Pool,1471 NW 67th St,Seattle,WA,,3050700005,6,BALLARD,47.67734,-122.37624,1972,1,1,12769,0,12769,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Swimming Pool",Other - Recreation,10912.0,Fitness Center/Health Club/Gym,1670.0,Office,187.0,,,400.7999878,420.6000061,618.0999756,638.9000244,5117308.5,5370263.5,0.0,1205173.312,3912135.156,Compliant,,216.18,16.93,51,0.8545696608974861,0.1307854961234239,0.014644842979089984,Low,Old,5117308.468,0.9999999937467128,0.0,0.24,0.76
50212,Nonresidential COS,Other,Conservatory Campus,1400 E Galer St,Seattle,WA,,2925049087,3,EAST,47.63228,-122.31574,1912,1,1,23445,0,23445,Other - Recreation,Other - Recreation,23445.0,,,,,,,254.8999939,286.5,380.1000061,413.2000122,5976246.0,6716330.0,0.0,1260869.84,4715375.781,Compliant,,259.22,11.06,111,1.0,,,Low,Very_old,5976245.621,0.9999999365822626,0.0,0.21,0.79
50219,Nonresidential COS,Mixed Use Property,Garfield Community Center,2323 East Cherry St,Seattle,WA,,7544800245,3,CENTRAL,47.60775,-122.30225,1994,1,1,20050,0,20050,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Other - Technology/Science",Other - Recreation,8108.0,Fitness Center/Health Club/Gym,7726.0,Office,3779.0,,,90.40000153,99.40000153,175.1999969,184.6000061,1813404.0,1993136.625,0.0,769453.0749,1043951.074,Compliant,,60.81,3.03,29,0.40438902743142147,0.38533665835411474,0.1884788029925187,Low,Modern,1813404.1489,1.0000000821107706,0.0,0.42,0.58
50221,Nonresidential COS,Other,High Point Community Center,6920 34th Ave SW,Seattle,WA,,2524039059,1,DELRIDGE NEIGHBORHOODS,47.54067,-122.37441,1982,1,1,18261,0,18261,Other - Recreation,Other - Recreation,18261.0,,,,,,,51.0,56.20000076,126.0,136.6000061,932082.125,1025432.125,0.0,632362.0071,299719.9951,Compliant,,20.33,1.11,41,1.0,,,Low,Modern,932082.0022,0.9999998682519525,0.0,0.68,0.32
50223,Nonresidential COS,Other,International district/Chinatown CC,719 8th Ave S,Seattle,WA,,3558300000,2,DOWNTOWN,47.59625,-122.32283,2004,1,1,16000,0,16000,Other - Recreation,Other - Recreation,16000.0,,,,,,,59.40000153,65.90000153,114.1999969,118.9000015,950276.1875,1053705.75,0.0,396546.052,553729.9805,Compliant,,32.17,2.01,19,1.0,,,Low,Brand_new,950276.0325,0.9999998368895253,0.0,0.42,0.58
